,Bankrupt
4426,0
889,0
5490,0
3555,0
6547,0
696,0
5540,0
2794,0
415,0
5866,0
613,0
6673,0
4729,0
1075,0
5378,0
181,0
5728,0
5387,0
2651,0
740,0
5939,0
2291,0
225,0
3409,0
5532,0
1073,0
813,0
5853,0
970,0
5717,0
4183,0
665,0
967,0
163,0
745,0
2783,0
283,0
5775,0
182,0
5391,0
2665,0
5920,0
4746,0
6033,0
4443,0
4196,0
5492,0
3650,0
5523,0
5333,0
6593,0
5824,0
2882,0
5195,0
4179,0
5894,0
5165,0
5667,0
1993,0
6075,0
5236,0
5345,0
5991,0
2727,0
1082,0
144,0
4360,0
877,0
155,0
955,0
5890,0
5985,0
5575,0
5889,0
5832,0
867,0
5261,0
5530,0
682,0
5973,0
4315,0
